no,Country,Region,population,birth rate per 1000,death rate per 1000,median age,labor force,unemployment (%),GDP per capita (US$),physician density (physicians/1000 population),Health expenditure (% of GDP),Total area,Land borders,Life expectancy at birth 1960,Life expectancy at birth 1970,Life expectancy at birth 1980,Life expectancy at birth 1990,Life expectancy at birth 2000,Life expectancy at birth 2010
216,French Polynesia,Oceania,290373,14.5,5.3,32.4,126300,21.8,17000,2.13,NA,4167,No,56.28,60.18,64.56,68.7,72.31,75.64
217,Guam,Oceania,167772,19.4,6,29.1,73210,4.5,35600,NA,NA,544,No,60.97,65.66,69.26,71.93,75.01,78.13
218,Kiribati,Oceania,109367,21,7,25,39000,30.6,2000,0.2,10.2,811,No,49.25,54.38,56.93,60.37,64,65.35
219,Marshall Islands,Oceania,75684,23.8,4.2,23.1,10670,36,3600,0.46,17.1,181,No,NA,NA,NA,NA,65.24,NA
220,"Micronesia, Federated States of",Oceania,103643,19.6,4.2,25.5,37920,16.2,3400,0.19,13.7,702,No,57.58,61.63,65.17,66.21,67.3,68.58
221,Nauru,Oceania,9692,23.2,5.9,26.7,NA,23,12300,1.24,3.3,21,No,NA,NA,NA,NA,NA,NA
222,New Caledonia,Oceania,282754,14.8,5.7,32.3,119500,14.7,31100,2.22,NA,18575,No,58.64,63.03,66.57,70.49,75.16,77.26
223,New Zealand,Oceania,4545627,13.1,7.6,38.1,2655000,4.7,39000,3.03,11,268838,No,71.24,71.27,72.83,75.38,78.64,80.7
224,Niue,Oceania,1618,NA,NA,NA,663,12,5800,NA,7.4,260,No,NA,NA,NA,NA,NA,NA
225,Norfolk Island,Oceania,1748,NA,NA,NA,978,NA,NA,NA,NA,36,No,NA,NA,NA,NA,NA,NA
226,Northern Mariana Islands,Oceania,51994,14.9,4.9,33.4,27970,11.2,24500,0.36,NA,464,No,NA,NA,NA,NA,NA,NA
227,Palau,Oceania,21516,11.3,8.2,33.6,11610,1.7,14700,1.19,9,459,No,NA,NA,NA,69.07,70.49,NA
228,Papua New Guinea,Oceania,7027332,23.3,6.6,23.4,3681000,2.5,3700,0.05,4.3,462840,Yes,41.89,48.51,55.62,58.87,61.83,64.63
229,Pitcairn Islands,Oceania,54,NA,NA,NA,15,NA,NA,NA,NA,47,No,NA,NA,NA,NA,NA,NA
230,Samoa,Oceania,201316,20.2,5.4,24.8,50700,5.2,5700,0.34,7.2,2831,No,49.75,54.78,59.8,64.85,69.31,73.12
231,Solomon Islands,Oceania,660121,24.5,3.8,22.8,202500,NA,2200,0.2,5.1,28896,No,49.17,54.25,58.78,56.64,63.1,68.57
232,Tokelau,Oceania,1285,NA,NA,NA,440,NA,1000,2.72,NA,12,No,NA,NA,NA,NA,NA,NA
233,Tonga,Oceania,106398,21.8,4.9,23.3,33800,1.1,5900,0.52,5.2,747,No,61.4,64.88,67.48,69.6,70.81,72.17
234,Tuvalu,Oceania,11147,23.7,8.4,26,3615,NA,3800,0.92,16.5,26,No,NA,NA,NA,NA,NA,NA
235,Vanuatu,Oceania,288037,23.5,4,22.3,115900,1.7,2700,0.17,5,12189,No,46.44,52.37,58.35,63.07,67.44,70.72
236,Wallis and Futuna,Oceania,15763,13,5.5,32.8,4482,8.8,3800,NA,NA,142,No,NA,NA,NA,NA,NA,NA
